Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Affects versions,Fix versions,Due date,Votes,Labels,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Approvals),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Focus Areas),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Sentiment),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Parent,Parent key,Parent summary,Status Category,Status Category Changed
"As a venue owner, I want to see all bookings for my venues, so that I can manage and prepare for upcoming reservations.",VEN-18,10119,Story,QA in progress,VEN,Venue Reservation Systems,software,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,,High,,Samir Humagain,712020:2fbf2772-750b-40d6-910e-a50d80bcc064,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,11/Sep/25 11:37 AM,14/Sep/25 1:02 PM,14/Sep/25 1:02 PM,,,Version 1,,0,venue-mgmt,"Acceptance criteria:

* Venue owner can view all bookings for their venues in a list/table format.
* Each booking displays relevant info (customer name, date, time, status).
* Bookings are updated in real-time if changes occur.
* Venue owner cannot view bookings for other owners’ venues.",,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,,,,,,,,,VEN-48,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2cfbb2d5,,,,,,,,,,,,,,,,0|i000jr:,,,VEN Sprint 2,,,,,,,,,,,,10101,VEN-2,Venue Management(Owner side),In Progress,14/Sep/25 11:53 AM
"As a venue owner, I want to set availability dates/times for my venues, so that customers can only book when the venue is free.",VEN-17,10118,Story,Finish,VEN,Venue Reservation Systems,software,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,,Medium,,Samir Humagain,712020:2fbf2772-750b-40d6-910e-a50d80bcc064,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,11/Sep/25 11:36 AM,14/Sep/25 10:53 AM,14/Sep/25 11:02 AM,,,Version 1,,0,venue-mgmt,"Acceptance criteria:

* Venue owner can set available dates and times for each venue.
* Bookings outside available dates/times are not allowed.
* System saves and updates availability correctly.
* Customers can only see and book available slots.",,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@205fbabb,,,,,,,,,,,,,,,,0|i000hs:x,,,VEN Sprint 2,,,,,,,,,,,,10101,VEN-2,Venue Management(Owner side),In Progress,14/Sep/25 10:45 AM
"As a venue owner, I want to delete a venue, so that unavailable or removed venues are not shown to customers.",VEN-16,10117,Story,Finish,VEN,Venue Reservation Systems,software,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,,High,,Samir Humagain,712020:2fbf2772-750b-40d6-910e-a50d80bcc064,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,11/Sep/25 11:36 AM,11/Sep/25 6:46 PM,11/Sep/25 6:41 PM,,,Version 1,,0,venue-mgmt,"Acceptance criteria:

* Venue owner can select a venue to delete.
* System asks for confirmation before deletion.
* Venue is removed from the owner’s list and customer view.
* Appropriate message is displayed: “Venue deleted successfully.”",,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5b284efe,,,,,,,,,,,,,,,,0|i000h5:,,,VEN Sprint 1,,,,,,,,,,,,10101,VEN-2,Venue Management(Owner side),In Progress,11/Sep/25 6:42 PM
"As a venue owner, I want to edit my venue details, so that I can keep the information accurate and up-to-date.",VEN-15,10116,Story,Finish,VEN,Venue Reservation Systems,software,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,,High,,Samir Humagain,712020:2fbf2772-750b-40d6-910e-a50d80bcc064,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,11/Sep/25 11:36 AM,14/Sep/25 10:45 AM,11/Sep/25 3:24 PM,,,Version 1,,0,venue-mgmt,"Acceptance criteria:

* Venue owner can access the edit page for their venue.
* Changes to any field are saved correctly in the database.
* Validation errors (e.g., empty required fields, invalid price) are shown.
* Confirmation message is displayed: “Venue updated successfully.”
* Updated details are reflected in the customer view.",,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3a69e86,,,,,,,,,,,,,,,,0|i000hs:v,,,VEN Sprint 2,,,,,,,,,,,,10101,VEN-2,Venue Management(Owner side),In Progress,14/Sep/25 10:44 AM
"As a venue owner, I want to add a new venue with details and images, so that customers can view and book it.",VEN-14,10115,Story,Finish,VEN,Venue Reservation Systems,software,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,,High,,Samir Humagain,712020:2fbf2772-750b-40d6-910e-a50d80bcc064,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,11/Sep/25 11:35 AM,11/Sep/25 8:09 PM,11/Sep/25 6:43 PM,,,Version 1,,0,venue-mgmt,"Acceptance criteria:

* Venue owner can access “Add Venue” page/form.
* All required fields (name, description, location, price, capacity, images) must be filled.
* Venue is successfully saved to the database upon submission.
* Confirmation message is displayed: “Venue added successfully.”
* Venue appears in the owner’s list and is visible to customers (if  approved by admin).",,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@17d9fd82,,,,,,,,,,,,,,,,0|i000h9:,,,VEN Sprint 1,,,,,,,,,,,,10101,VEN-2,Venue Management(Owner side),In Progress,11/Sep/25 6:42 PM
"As a user, I want to log out from the system, so that my account remains secure when I stop using it.",VEN-13,10113,Story,Finish,VEN,Venue Reservation Systems,software,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,,Medium,,karkisagun10,712020:46b452d7-547b-4e28-8367-f83d5e0f1811,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,11/Sep/25 11:06 AM,14/Sep/25 9:39 AM,14/Sep/25 9:38 AM,,,Version 1,,0,auth,"Acceptance criteria:


* User can click the logout button.
* Session/cookie is cleared to end login session.
* User can no longer book the venue but can view the venue",,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6694b15,,,,,,,,,,,,,,,,0|i000hs:,,,VEN Sprint 2,,,,,,,,,,,,10100,VEN-1,User Authentication and Profile Management,In Progress,14/Sep/25 9:38 AM
"As a user, I want to update my profile information, so that I can keep my account information accurate and up to date.",VEN-12,10112,Story,QA in progress,VEN,Venue Reservation Systems,software,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,,Medium,,Samir Humagain,712020:2fbf2772-750b-40d6-910e-a50d80bcc064,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,11/Sep/25 11:06 AM,14/Sep/25 1:03 PM,15/Sep/25 9:15 AM,,,Version 1,,0,auth,"Acceptance criteria:


* User can edit allowed fields (e.g., name, phone, password).
* Changes are saved correctly in the database.
* Validation errors (e.g., invalid email format) are displayed properly.
* Updated information is reflected immediately in the profile view.",,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,,,,,,,,,VEN-45,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6eeb4e67,,,,,,,,,,,,,,,,0|i000ht:,,,VEN Sprint 2,,,,,,,,,,,,10100,VEN-1,User Authentication and Profile Management,In Progress,14/Sep/25 10:24 AM
"As a user, I want to view my profile details, so that I can check my personal information and account settings.",VEN-11,10111,Story,Finish,VEN,Venue Reservation Systems,software,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,,Medium,,karkisagun10,712020:46b452d7-547b-4e28-8367-f83d5e0f1811,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,11/Sep/25 11:06 AM,14/Sep/25 10:27 AM,11/Sep/25 3:22 PM,,,Version 1,,0,auth,"Acceptance criteria:

* Logged-in user can access the profile page.
* All relevant details (name, email, role, etc.) are displayed correctly.
* User cannot view or edit other users’ profiles.",,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@761cee7d,,,,,,,,,,,,,,,,0|i000hs:i,,,VEN Sprint 2,,,,,,,,,,,,10100,VEN-1,User Authentication and Profile Management,In Progress,14/Sep/25 10:27 AM
"As a user, I want the system to enforce strong passwords, so that my account remains secure.",VEN-10,10110,Story,Finish,VEN,Venue Reservation Systems,software,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,,Medium,,karkisagun10,712020:46b452d7-547b-4e28-8367-f83d5e0f1811,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,11/Sep/25 11:05 AM,14/Sep/25 10:44 AM,14/Sep/25 10:44 AM,,,Version 1,,0,auth,"Acceptance criteria:


* System enforces password complexity rules during signup or password change.
* Weak passwords are rejected with a clear message.
* Passwords are stored securely (hashed/encrypted).
* System prevents reuse of recent passwords (if applicable).",,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6423df8f,,,,,,,,,,,,,,,,0|i000hs:r,,,VEN Sprint 2,,,,,,,,,,,,10100,VEN-1,User Authentication and Profile Management,In Progress,14/Sep/25 10:44 AM
"As a user, I want the system to recognize my role (customer, venue owner, admin), so that I see only the features allowed for my role.",VEN-9,10109,Story,Finish,VEN,Venue Reservation Systems,software,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,,Medium,,karkisagun10,712020:46b452d7-547b-4e28-8367-f83d5e0f1811,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,11/Sep/25 11:05 AM,14/Sep/25 9:38 AM,14/Sep/25 9:38 AM,,,Version 1,,0,auth,"Acceptance criteria:

* Customer sees only customer-specific features (e.g., booking venues).
* Venue owner sees owner-specific features (e.g., add/edit/delete venue).
* Admin sees admin features (e.g., dashboard, user/venue management).
* Unauthorized access attempts are blocked with an error message or redirect.",,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1dcb55ad,,,,,,,,,,,,,,,,0|i000hr:,,,VEN Sprint 2,,,,,,,,,,,,10100,VEN-1,User Authentication and Profile Management,In Progress,14/Sep/25 9:38 AM
"As a registered user, I want to log in using my credentials, so that I can securely access my account.",VEN-8,10108,Story,Finish,VEN,Venue Reservation Systems,software,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,,Medium,,karkisagun10,712020:46b452d7-547b-4e28-8367-f83d5e0f1811,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,11/Sep/25 11:04 AM,11/Sep/25 8:27 PM,11/Sep/25 3:21 PM,,,Version 1,,0,auth,"Acceptance criteria:

* User can access the login page/form.
* Valid email and password combination allows successful login.
* Invalid credentials display an error message: “Invalid email or password.”
* Successful login redirects user to the appropriate dashboard (based on role).
* Session/cookie is created to maintain user login state.",,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4bdb504c,,,,,,,,,,,,,,,,0|i000hj:,,,VEN Sprint 1,,,,,,,,,,,,10100,VEN-1,User Authentication and Profile Management,In Progress,11/Sep/25 8:09 PM
"As a new user, I want to sign up with my email and password, so that I can create an account and access the system.",VEN-7,10107,Story,Finish,VEN,Venue Reservation Systems,software,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,,Medium,,karkisagun10,712020:46b452d7-547b-4e28-8367-f83d5e0f1811,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,11/Sep/25 11:00 AM,11/Sep/25 8:27 PM,11/Sep/25 5:57 PM,,,Version 1,,0,auth,"Acceptance criteria:

* User can access the signup page/form.
* User must provide valid email and password.
* Password must meet security requirements (e.g., min 8 characters, 1 uppercase, 1 number).
* On successful signup, user receives confirmation message/email.
* System prevents duplicate email registrations.
* User is redirected to login page or logged in automatically after signup.",,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@77db0e79,,,,,,,,,,,,,,,,0|i000hd:,,,VEN Sprint 1,,,,,,,,,,,,10100,VEN-1,User Authentication and Profile Management,In Progress,11/Sep/25 8:08 PM
Admin & Dashboard,VEN-6,10105,Epic,To Do,VEN,Venue Reservation Systems,software,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,,Medium,,,,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,11/Sep/25 10:40 AM,11/Sep/25 10:40 AM,,,,,,0,,"This epic includes all features related to administrative management of the Venue Reservation System. The admin dashboard allows administrators to monitor and control the platform, manage users and venues, view bookings, and generate reports. The goal is to ensure smooth operations, maintain system integrity, and provide insights into platform usage.",,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2cda33ee,,,,,ghx-label-11,,To Do,,,,teal,,,,,0|i000h3:,,,,,,,,,,,,,,,,,,To Do,11/Sep/25 10:40 AM
Food &Extra Services,VEN-5,10104,Epic,To Do,VEN,Venue Reservation Systems,software,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,,Medium,,,,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,11/Sep/25 10:39 AM,11/Sep/25 10:54 AM,11/Sep/25 10:54 AM,,,,,0,,"This epic covers all features that allow customers to add additional services such as food, catering, or other extras to their venue bookings. It also allows venue owners to manage these services and make them available for booking. The goal is to enhance the customer experience by offering flexible options that complement the venue reservation.",,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@d1bf5c7,,,,,ghx-label-14,,To Do,,,,dark_orange,,,,,0|i000gv:,,,,,,,,,,,,,,,,,,To Do,11/Sep/25 10:39 AM
Payment ,VEN-4,10103,Epic,To Do,VEN,Venue Reservation Systems,software,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,,Medium,,,,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,11/Sep/25 10:38 AM,11/Sep/25 10:38 AM,11/Sep/25 3:29 PM,,,,,0,,"Purpose:This epic covers all features related to processing payments and managing orders in the Venue Reservation System. It ensures that customers can securely make payments for their bookings and that venue owners can manage orders linked to bookings. The system should handle payment confirmations, refunds, and order tracking efficiently.",,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@199d12cd,,,,,ghx-label-14,,To Do,,,,dark_orange,,,,,0|i000gn:,,,,,,,,,,,,,,,,,,To Do,11/Sep/25 10:38 AM
Booking Management(customer side),VEN-3,10102,Epic,To Do,VEN,Venue Reservation Systems,software,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,,Medium,,,,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,11/Sep/25 10:37 AM,11/Sep/25 10:37 AM,11/Sep/25 11:43 AM,,,,,0,,"Purpose:This epic covers all features related to venue booking for customers. It enables customers to search for available venues, make bookings, view their booking history, and manage or cancel bookings. The goal is to provide a seamless and secure booking experience that ensures accurate availability and smooth customer interaction.",,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4f742208,,,,,ghx-label-6,,To Do,,,,green,,,,,0|i000gf:,,,,,,,,,,,,,,,,,,To Do,11/Sep/25 10:37 AM
Venue Management(Owner side),VEN-2,10101,Epic,To Do,VEN,Venue Reservation Systems,software,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,,Medium,,,,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,11/Sep/25 10:15 AM,11/Sep/25 10:15 AM,11/Sep/25 11:31 AM,,,,,0,,"Purpose:This epic includes all features that allow venue owners to manage their venues in the system. Venue owners should be able to add, edit, and delete venue listings, manage availability, and provide accurate information to customers. The goal is to give venue owners full control over their listings while ensuring data integrity and usability.",,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@607340b9,,,,,ghx-label-10,,To Do,,,,blue,,,,,0|i000g7:,,,,,,,,,,,,,,,,,,To Do,11/Sep/25 10:15 AM
User Authentication and Profile Management,VEN-1,10100,Epic,To Do,VEN,Venue Reservation Systems,software,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,,Medium,,,,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,11/Sep/25 10:09 AM,11/Sep/25 10:52 AM,14/Sep/25 11:06 AM,,,,,0,,"Purpose:This epic covers all features related to user registration, login, authentication, and profile management in the Venue Reservation System. It ensures that different types of users (customers, venue owners, and admins) can securely access the system with appropriate roles and permissions. Users should be able to create accounts, log in, manage their profiles, and maintain session security.",,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3517e902,,,,,ghx-label-14,,To Do,,,,dark_orange,,,,,0|i000fz:,,,,,,,,,,,,,,,,,,To Do,11/Sep/25 10:09 AM
